txn_no,txn_date,txn_time,currency,amount,dc_flag,counterparty_name,counterparty_account,summary
20260824105713000067,2026-08-24,10:57:13,CNY,130200.00,C,某某网络科技（杭州）有限公司,6222426745058748151,项目回款
20260824114603000068,2026-08-24,11:46:03,CNY,54800.00,C,上海某某信息技术有限公司,6222760724656489033,技术服务费
20260824123030000069,2026-08-24,12:30:30,CNY,75500.00,C,北京某某咨询有限公司,6222652820404148332,咨询费
20260824123232000070,2026-08-24,12:32:32,CNY,26600.00,D,某某电力有限公司,1109964411270416266,电费
20260824123332000071,2026-08-24,12:33:32,CNY,92500.00,D,某某供应链管理有限公司,1109552245081278160,采购款
20260824130343000072,2026-08-24,13:03:43,CNY,251400.00,C,北京某某科技有限公司,6222808650467389197,货款
20260824131148000073,2026-08-24,13:11:48,CNY,336200.00,C,深圳某某电子商务有限公司,6222494483170343316,平台结算款
20260824134655000074,2026-08-24,13:46:55,CNY,118400.00,C,某某（南京）数据服务有限公司,6222257997634857957,服务费
20260824135524000075,2026-08-24,13:55:24,CNY,47900.00,D,某某广告传媒有限公司,1109384720839959009,广告费
20260824141628000076,2026-08-24,14:16:28,CNY,96800.00,C,广州某某软件有限公司,6222246367228598137,软件开发费
20260824144151000077,2026-08-24,14:41:51,CNY,65200.00,D,某某会计师事务所,1109473077246580135,税费
20260824144228000078,2026-08-24,14:42:28,CNY,6900.00,D,王某某,1109373892687093658,差旅报销
20260824152552000079,2026-08-24,15:25:52,CNY,38200.00,C,某某（杭州）网络有限公司,6222700293897224200,退款
20260825105314000080,2026-08-25,10:53:14,CNY,97000.00,C,某某（武汉）软件有限公司,6222435168745308299,软件开发费
20260825111532000081,2026-08-25,11:15:32,CNY,285000.00,D,某某人力资源服务有限公司,8110308066355788822,工资代发
20260825115115000082,2026-08-25,11:51:15,CNY,43200.00,C,某某（杭州）网络有限公司,6222180622903278171,退款
20260825124042000083,2026-08-25,12:40:42,CNY,38500.00,D,某某快递服务有限公司,1109615942559744462,物流费
20260825124911000084,2026-08-25,12:49:11,CNY,19800.00,D,某某云计算有限公司,1109997791428671857,云服务费
20260825131113000085,2026-08-25,13:11:13,CNY,27300.00,D,某某电力有限公司,1109213136151133794,电费
20260825133920000086,2026-08-25,13:39:20,CNY,84000.00,D,某某广告传媒有限公司,1109440297647188419,广告费
20260825134931000087,2026-08-25,13:49:31,CNY,118200.00,C,某某网络科技（杭州）有限公司,6222250921201316315,项目回款
20260825153338000088,2026-08-25,15:33:38,CNY,48300.00,D,某某人力资源服务有限公司,1109379254730427493,劳务费
20260825161129000089,2026-08-25,16:11:29,CNY,31700.00,C,某某（南京）数据服务有限公司,6222390749030246219,服务费
20260825161154000090,2026-08-25,16:11:54,CNY,157100.00,C,上海某某电子商务有限公司,6222546531888535006,平台结算款
20260825172751000091,2026-08-25,17:27:51,CNY,61400.00,D,某某会计师事务所,1109859416393222591,税费
20260825173024000092,2026-08-25,17:30:24,CNY,59200.00,D,某某供应链管理有限公司,1109710382295228832,采购款
20260825174443000093,2026-08-25,17:44:43,CNY,99300.00,C,北京某某文化传媒有限公司,6222572051322837776,广告服务费
20260826095215000094,2026-08-26,09:52:15,CNY,7300.00,D,杨某某,1109542371195943033,差旅报销
20260826103714000095,2026-08-26,10:37:14,CNY,74100.00,D,某某办公用品有限公司,1109851086899075265,采购款
20260826114744000096,2026-08-26,11:47:44,CNY,43800.00,C,上海某某信息技术有限公司,6222843993006653792,服务费
20260826115345000097,2026-08-26,11:53:45,CNY,306100.00,C,深圳某某电子商务有限公司,6222881241422507950,平台结算款
20260826121420000098,2026-08-26,12:14:20,CNY,121400.00,C,某某网络科技（杭州）有限公司,6222408678364355919,项目回款
20260826123357000099,2026-08-26,12:33:57,CNY,25400.00,D,某某电力有限公司,1109939976664131949,电费
20260826125509000100,2026-08-26,12:55:09,CNY,43400.00,D,某某广告传媒有限公司,1109111359738539908,广告费
20260826131926000101,2026-08-26,13:19:26,CNY,32600.00,D,某某人力资源服务有限公司,1109980721420499193,劳务费
20260826142237000102,2026-08-26,14:22:37,CNY,63400.00,C,北京某某咨询有限公司,6222744947243279874,咨询费
20260826143856000103,2026-08-26,14:38:56,CNY,35000.00,D,某某物业管理有限公司,8110495995815108571,物业费
20260826144500000104,2026-08-26,14:45:00,CNY,132600.00,C,某某（武汉）软件有限公司,6222638763360674662,软件开发费
20260826144653000105,2026-08-26,14:46:53,CNY,10600.00,C,上海某某电子商务有限公司,6222521338560219875,退款
20260826150755000106,2026-08-26,15:07:55,CNY,98500.00,C,上海某某信息技术有限公司,6222676637666162708,技术服务费
20260827102907000107,2026-08-27,10:29:07,CNY,10000.00,C,上海某某电子商务有限公司,6222255165338845918,退款
20260827104407000108,2026-08-27,10:44:07,CNY,194900.00,C,北京某某文化传媒有限公司,6222809530214246398,广告服务费
20260827110232000109,2026-08-27,11:02:32,CNY,30700.00,C,北京某某咨询有限公司,6222365906454014222,咨询费
20260827114142000110,2026-08-27,11:41:42,CNY,55100.00,D,某某税务服务有限公司,1109937157987766305,税费
20260827121916000111,2026-08-27,12:19:16,CNY,138000.00,C,某某（武汉）软件有限公司,6222329774493556686,软件开发费
20260827122027000112,2026-08-27,12:20:27,CNY,13600.00,D,某某电力有限公司,1109601926502441791,电费
20260827123122000113,2026-08-27,12:31:22,CNY,33800.00,C,某某（深圳）供应链有限公司,6222108947715874554,服务费
20260827123359000114,2026-08-27,12:33:59,CNY,303100.00,C,上海某某电子商务有限公司,6222827072411058425,平台结算款
20260827135719000115,2026-08-27,13:57:19,CNY,37300.00,D,某某律师事务所,1109936604838409316,劳务费
20260827142210000116,2026-08-27,14:22:10,CNY,339400.00,C,某某（杭州）网络有限公司,6222779127804171934,货款
20260827152200000117,2026-08-27,15:22:00,CNY,12300.00,D,某某云计算有限公司,1109899873971563113,云服务费
