账号,账号名称,币种,交易日,交易时间,起息日,交易类型,借方金额,贷方金额,余额,摘要,流水号,流程实例号,业务名称,用途,业务参考号,业务摘要,其它摘要,收(付)方分行名,收(付)方名称,收(付)方账号,收(付)方开户行行号,收(付)方开户行名,收(付)方开户行地址,母(子)公司账号分行名,母(子)公司账号,母(子)公司名称,信息标志,有否附件信息,冲账标志,扩展摘要,交易分析码,票据号,商务支付订单号,内部编号,公司一卡通号
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,09:12:35,2026-08-24,银联TOKEN贷记对公户入账,,156800.00,3413280.50,SA020008提现 2026-08-24,C0947BO000133AZ,,,,,,,,北京某某科技有限公司,110900123456789012,,中国工商银行北京分行,,,,,,,,TK46Y9042T0010001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,09:30:11,2026-08-24,跨行转账支出,76500.00,,3336780.50,采购款,C0947BO00022FEZ,,,采购款,,,,,某某供应链管理有限公司,8110001234567890,,中信银行深圳分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,09:45:02,2026-08-24,银联TOKEN贷记对公户入账,,89500.00,3426280.50,SA020008提现 2026-08-24,C0947BO0003C9BZ,,,,,,,,上海某某信息技术有限公司,6222001234567890123,,中国建设银行北京分行,,,,,,,,TK46Y9042T0030001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,10:08:47,2026-08-24,网联付款申请收款,,320000.00,3746280.50,0824_1720219225,C0947BO000438AZ,,,,,,,,深圳某某电子商务有限公司,7559001234567890,,招商银行深圳分行,,,,,,,,AN40004X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,10:33:19,2026-08-24,银联TOKEN贷记对公户入账,,45200.00,3791480.50,SA020008提现 2026-08-24,C0947BO00059C8Z,,,,,,,,某某（上海）贸易有限公司,6222001234567890124,,中国建设银行北京分行,,,,,,,,TK46Y9042T0050001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,10:55:27,2026-08-24,跨行转账支出,88000.00,,3703480.50,广告费,C0947BO00061B2Z,,,广告费,,,,,某某广告传媒有限公司,110900123456789016,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,11:02:54,2026-08-24,银联TOKEN贷记对公户入账,,128000.00,3831480.50,SA020008提现 2026-08-24,C0947BO0007CC2Z,,,,,,,,北京某某文化传媒有限公司,110900123456789013,,中国工商银行北京分行,,,,,,,,TK46Y9042T0070001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,11:22:53,2026-08-24,代发工资,42300.00,,3789180.50,劳务费,C0947BO0008714Z,,,劳务费,,,,,某某人力资源服务有限公司,6222001234567890129,,中国建设银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,11:40:26,2026-08-24,网联付款申请收款,,210500.00,3999680.50,0824_1720219225,C0947BO0009722Z,,,,,,,,某某网络科技（杭州）有限公司,6222001234567890125,,中国建设银行北京分行,,,,,,,,AN90009X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,13:15:08,2026-08-24,银联TOKEN贷记对公户入账,,96800.00,4096480.50,SA020008提现 2026-08-24,C0947BO000A1A1Z,,,,,,,,广州某某软件有限公司,110900123456789014,,中国工商银行北京分行,,,,,,,,TK46Y9042T0100001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,13:48:09,2026-08-24,跨行转账支出,25600.00,,4070880.50,云服务费,C0947BO000BD56Z,,,云服务费,,,,,某某云计算有限公司,110900123456789017,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,14:02:41,2026-08-24,银联TOKEN贷记对公户入账,,67300.00,4138180.50,SA020008提现 2026-08-24,C0947BO000CF98Z,,,,,,,,某某（北京）科技有限公司,6222001234567890126,,中国建设银行北京分行,,,,,,,,TK46Y9042T0120001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,14:20:31,2026-08-24,网上银行转账支出,120000.00,,4018180.50,房租,C0947BO000D088Z,,,房租,,,,,某某物业管理有限公司,6222001234567890130,,中国建设银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,14:47:33,2026-08-24,网联付款申请收款,,154000.00,4172180.50,0824_1720219225,C0947BO000E985Z,,,,,,,,上海某某电子商务有限公司,7559001234567891,,招商银行深圳分行,,,,,,,,ANE0014X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,15:20:15,2026-08-24,银联TOKEN贷记对公户入账,,38600.00,4210780.50,SA020008提现 2026-08-24,C0947BO000FD7CZ,,,,,,,,某某（深圳）供应链有限公司,6222001234567890127,,中国建设银行北京分行,,,,,,,,TK46Y9042T0150001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,15:35:44,2026-08-24,网上银行转账支出,18900.00,,4191880.50,电费,C0947BO000G59AZ,,,电费,,,,,某某电力有限公司,110900123456789018,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,16:05:49,2026-08-24,银联TOKEN贷记对公户入账,,52000.00,4243880.50,SA020008提现 2026-08-24,C0947BO000HB5FZ,,,,,,,,北京某某咨询有限公司,110900123456789015,,中国工商银行北京分行,,,,,,,,TK46Y9042T0170001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,16:22:58,2026-08-24,跨行转账支出,6850.00,,4237030.50,办公用品采购,C0947BO000IC5FZ,,,办公用品采购,,,,,某某办公用品有限公司,6222001234567890131,,中国建设银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,17:12:37,2026-08-24,银联TOKEN贷记对公户入账,,183200.00,4420230.50,SA020008提现 2026-08-24,C0947BO000JC55Z,,,,,,,,某某（杭州）网络有限公司,6222001234567890128,,中国建设银行北京分行,,,,,,,,TK46Y9042T0190001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,17:45:12,2026-08-24,网上银行转账支出,3200.00,,4417030.50,差旅报销,C0947BO000KF6FZ,,,差旅报销,,,,,王某某,6222021234567890132,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
