账号,账号名称,币种,交易日,交易时间,起息日,交易类型,借方金额,贷方金额,余额,摘要,流水号,流程实例号,业务名称,用途,业务参考号,业务摘要,其它摘要,收(付)方分行名,收(付)方名称,收(付)方账号,收(付)方开户行行号,收(付)方开户行名,收(付)方开户行地址,母(子)公司账号分行名,母(子)公司账号,母(子)公司名称,信息标志,有否附件信息,冲账标志,扩展摘要,交易分析码,票据号,商务支付订单号,内部编号,公司一卡通号
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,10:40:53,2026-08-24,跨行转账支出,82400.00,,3174080.50,采购款,C0947BO000133AZ,,,采购款,,,,,某某供应链管理有限公司,1109253150438806540,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,10:50:29,2026-08-24,银联TOKEN贷记对公户入账,,40200.00,3214280.50,SA020008提现 2026-08-24,C0947BO00022FEZ,,,,,,,,某某（成都）信息技术有限公司,6222895676846976272,,中国建设银行北京分行,,,,,,,,TK46Y9042T0020001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,10:51:19,2026-08-24,代发工资,56800.00,,3157480.50,劳务费,C0947BO0003C9BZ,,,劳务费,,,,,某某律师事务所,1109383095769676964,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,11:27:29,2026-08-24,银联TOKEN贷记对公户入账,,122300.00,3279780.50,SA020008提现 2026-08-24,C0947BO000438AZ,,,,,,,,北京某某文化传媒有限公司,6222455084647575366,,中国建设银行北京分行,,,,,,,,TK46Y9042T0040001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,12:24:35,2026-08-24,银联TOKEN贷记对公户入账,,18600.00,3298380.50,SA020008提现 2026-08-24,C0947BO00059C8Z,,,,,,,,某某（杭州）网络有限公司,6222782505225719108,,中国建设银行北京分行,,,,,,,,TK46Y9042T0050001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,12:39:37,2026-08-24,网上银行转账支出,25400.00,,3272980.50,电费,C0947BO00061B2Z,,,电费,,,,,某某电力有限公司,1109932297607480587,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,13:13:54,2026-08-24,跨行转账支出,14700.00,,3258280.50,办公用品采购,C0947BO0007CC2Z,,,办公用品采购,,,,,某某供应链管理有限公司,1109270288958274723,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,14:54:32,2026-08-24,银联TOKEN贷记对公户入账,,48500.00,3306780.50,SA020008提现 2026-08-24,C0947BO0008714Z,,,,,,,,北京某某咨询有限公司,6222841439588286413,,中国建设银行北京分行,,,,,,,,TK46Y9042T0080001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,15:15:44,2026-08-24,网联付款申请收款,,255100.00,3561880.50,0824_1720219225,C0947BO0009722Z,,,,,,,,深圳某某电子商务有限公司,6222728505703501241,,中国建设银行北京分行,,,,,,,,AN90009X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,15:25:27,2026-08-24,银联TOKEN贷记对公户入账,,178300.00,3740180.50,SA020008提现 2026-08-24,C0947BO000A1A1Z,,,,,,,,某某（武汉）软件有限公司,6222988330208861549,,中国建设银行北京分行,,,,,,,,TK46Y9042T0100001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,16:53:28,2026-08-24,银联TOKEN贷记对公户入账,,241400.00,3981580.50,SA020008提现 2026-08-24,C0947BO000BD56Z,,,,,,,,某某（上海）贸易有限公司,6222401032344311243,,中国建设银行北京分行,,,,,,,,TK46Y9042T0110001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-24,17:58:50,2026-08-24,网上银行转账支出,7200.00,,3974380.50,差旅报销,C0947BO000CF98Z,,,差旅报销,,,,,李某某,1109139348456921559,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,09:02:53,2026-08-25,跨行转账支出,73700.00,,3900680.50,采购款,C0947BP0001AD1Z,,,采购款,,,,,某某供应链管理有限公司,1109485044425769994,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,09:19:02,2026-08-25,网联付款申请收款,,246500.00,4147180.50,0825_1720219225,C0947BP00025CDZ,,,,,,,,深圳某某电子商务有限公司,6222179422654235847,,中国建设银行北京分行,,,,,,,,AN20002X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,10:00:45,2026-08-25,银联TOKEN贷记对公户入账,,109100.00,4256280.50,SA020008提现 2026-08-25,C0947BP000306EZ,,,,,,,,北京某某科技有限公司,6222743459754059861,,中国建设银行北京分行,,,,,,,,TK46Y9042T0030001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,10:13:32,2026-08-25,银联TOKEN贷记对公户入账,,29600.00,4285880.50,SA020008提现 2026-08-25,C0947BP0004151Z,,,,,,,,上海某某电子商务有限公司,6222159773188294855,,中国建设银行北京分行,,,,,,,,TK46Y9042T0040001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,10:42:44,2026-08-25,网上银行转账支出,16700.00,,4269180.50,电费,C0947BP00057D2Z,,,电费,,,,,某某电力有限公司,1109708526042724015,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,11:15:32,2026-08-25,跨行转账支出,285000.00,,3984180.50,工资代发,C0947BP0006E49Z,,,工资代发,,,,,某某人力资源服务有限公司,8110876533297346145,,中信银行深圳分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,11:41:30,2026-08-25,银联TOKEN贷记对公户入账,,141600.00,4125780.50,SA020008提现 2026-08-25,C0947BP0007F18Z,,,,,,,,广州某某软件有限公司,6222172327047030164,,中国建设银行北京分行,,,,,,,,TK46Y9042T0070001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,11:42:02,2026-08-25,银联TOKEN贷记对公户入账,,70600.00,4196380.50,SA020008提现 2026-08-25,C0947BP00089CEZ,,,,,,,,某某（南京）数据服务有限公司,6222816359222737894,,中国建设银行北京分行,,,,,,,,TK46Y9042T0080001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,13:29:05,2026-08-25,代发工资,36900.00,,4159480.50,劳务费,C0947BP00090E8Z,,,劳务费,,,,,某某律师事务所,1109643493347756602,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,14:03:49,2026-08-25,跨行转账支出,13900.00,,4145580.50,办公用品采购,C0947BP000AF99Z,,,办公用品采购,,,,,某某办公用品有限公司,1109371487040510821,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,14:30:28,2026-08-25,跨行转账支出,38000.00,,4107580.50,物流费,C0947BP000B966Z,,,物流费,,,,,某某物流有限公司,1109993481671227584,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,14:31:48,2026-08-25,跨行转账支出,14500.00,,4093080.50,云服务费,C0947BP000C21DZ,,,云服务费,,,,,某某云计算有限公司,1109954585868419420,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,14:42:48,2026-08-25,银联TOKEN贷记对公户入账,,50100.00,4143180.50,SA020008提现 2026-08-25,C0947BP000DA3DZ,,,,,,,,北京某某咨询有限公司,6222636897684348753,,中国建设银行北京分行,,,,,,,,TK46Y9042T0130001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,16:41:01,2026-08-25,网联付款申请收款,,149000.00,4292180.50,0825_1720219225,C0947BP000E75FZ,,,,,,,,某某（武汉）软件有限公司,6222483841905399504,,中国建设银行北京分行,,,,,,,,ANE0014X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-25,17:05:59,2026-08-25,银联TOKEN贷记对公户入账,,62100.00,4354280.50,SA020008提现 2026-08-25,C0947BP000F8E7Z,,,,,,,,上海某某信息技术有限公司,6222966678575520776,,中国建设银行北京分行,,,,,,,,TK46Y9042T0150001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,09:09:27,2026-08-26,网上银行转账支出,25300.00,,4328980.50,电费,C0947BQ00014DFZ,,,电费,,,,,某某电力有限公司,1109467273951999981,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,11:46:40,2026-08-26,银联TOKEN贷记对公户入账,,48600.00,4377580.50,SA020008提现 2026-08-26,C0947BQ0002EE9Z,,,,,,,,上海某某信息技术有限公司,6222719077132114061,,中国建设银行北京分行,,,,,,,,TK46Y9042T0020001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,12:50:17,2026-08-26,银联TOKEN贷记对公户入账,,60500.00,4438080.50,SA020008提现 2026-08-26,C0947BQ00034C4Z,,,,,,,,某某（深圳）供应链有限公司,6222777122214829040,,中国建设银行北京分行,,,,,,,,TK46Y9042T0030001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,12:59:28,2026-08-26,跨行转账支出,116400.00,,4321680.50,采购款,C0947BQ0004F56Z,,,采购款,,,,,某某办公用品有限公司,1109543166083029657,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,13:16:09,2026-08-26,跨行转账支出,44900.00,,4276780.50,广告费,C0947BQ0005ACEZ,,,广告费,,,,,某某广告传媒有限公司,1109408978116316586,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,13:26:13,2026-08-26,跨行转账支出,29800.00,,4246980.50,云服务费,C0947BQ0006BDCZ,,,云服务费,,,,,某某云计算有限公司,1109127859263094324,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,14:04:43,2026-08-26,网联付款申请收款,,226000.00,4472980.50,0826_1720219225,C0947BQ00075E1Z,,,,,,,,深圳某某电子商务有限公司,6222181392158497087,,中国建设银行北京分行,,,,,,,,AN70007X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,14:15:30,2026-08-26,跨行转账支出,21900.00,,4451080.50,物流费,C0947BQ0008FBCZ,,,物流费,,,,,某某物流有限公司,1109945529315336242,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,14:19:02,2026-08-26,代发工资,43000.00,,4408080.50,劳务费,C0947BQ0009FE1Z,,,劳务费,,,,,某某人力资源服务有限公司,1109386458276434847,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,14:20:31,2026-08-26,网上银行转账支出,120000.00,,4288080.50,房租,C0947BQ000A703Z,,,房租,,,,,某某物业管理有限公司,8110188903365484124,,中信银行深圳分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,14:36:40,2026-08-26,银联TOKEN贷记对公户入账,,176500.00,4464580.50,SA020008提现 2026-08-26,C0947BQ000B4C0Z,,,,,,,,广州某某软件有限公司,6222192428874403228,,中国建设银行北京分行,,,,,,,,TK46Y9042T0110001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,14:37:57,2026-08-26,网联付款申请收款,,178100.00,4642680.50,0826_1720219225,C0947BQ000CD17Z,,,,,,,,某某网络科技（杭州）有限公司,6222895370104152825,,中国建设银行北京分行,,,,,,,,ANC0012X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,14:44:04,2026-08-26,银联TOKEN贷记对公户入账,,184800.00,4827480.50,SA020008提现 2026-08-26,C0947BQ000D70CZ,,,,,,,,北京某某文化传媒有限公司,6222537604005706281,,中国建设银行北京分行,,,,,,,,TK46Y9042T0130001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,15:36:38,2026-08-26,银联TOKEN贷记对公户入账,,57000.00,4884480.50,SA020008提现 2026-08-26,C0947BQ000E09CZ,,,,,,,,北京某某咨询有限公司,6222878080738883185,,中国建设银行北京分行,,,,,,,,TK46Y9042T0140001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-26,15:53:00,2026-08-26,网上银行转账支出,8800.00,,4875680.50,差旅报销,C0947BQ000F6F4Z,,,差旅报销,,,,,陈某某,1109119016410864046,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,09:05:32,2026-08-27,跨行转账支出,12600.00,,4863080.50,云服务费,C0947BR00019E2Z,,,云服务费,,,,,某某云计算有限公司,1109881754192890293,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,09:25:10,2026-08-27,银联TOKEN贷记对公户入账,,22800.00,4885880.50,SA020008提现 2026-08-27,C0947BR0002C7AZ,,,,,,,,上海某某电子商务有限公司,6222395663981256007,,中国建设银行北京分行,,,,,,,,TK46Y9042T0020001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,09:49:21,2026-08-27,跨行转账支出,145700.00,,4740180.50,采购款,C0947BR00032F5Z,,,采购款,,,,,某某办公用品有限公司,1109194260138735134,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,09:56:05,2026-08-27,网联付款申请收款,,272900.00,5013080.50,0827_1720219225,C0947BR00041D0Z,,,,,,,,上海某某电子商务有限公司,6222242480194615829,,中国建设银行北京分行,,,,,,,,AN40004X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,10:31:20,2026-08-27,跨行转账支出,15400.00,,4997680.50,物流费,C0947BR0005B19Z,,,物流费,,,,,某某物流有限公司,1109996449135259231,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,11:13:49,2026-08-27,银联TOKEN贷记对公户入账,,58600.00,5056280.50,SA020008提现 2026-08-27,C0947BR0006276Z,,,,,,,,深圳某某电子商务有限公司,6222653773307729309,,中国建设银行北京分行,,,,,,,,TK46Y9042T0060001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,11:17:01,2026-08-27,银联TOKEN贷记对公户入账,,76500.00,5132780.50,SA020008提现 2026-08-27,C0947BR00073A2Z,,,,,,,,北京某某咨询有限公司,6222325447448539382,,中国建设银行北京分行,,,,,,,,TK46Y9042T0070001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,12:31:10,2026-08-27,网联付款申请收款,,279500.00,5412280.50,0827_1720219225,C0947BR0008547Z,,,,,,,,某某网络科技（杭州）有限公司,6222521867797875238,,中国建设银行北京分行,,,,,,,,AN80008X7BS0000S5MX0,N6GATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,12:43:40,2026-08-27,网上银行转账支出,20400.00,,5391880.50,电费,C0947BR000907FZ,,,电费,,,,,某某电力有限公司,1109689289351234224,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,13:05:01,2026-08-27,银联TOKEN贷记对公户入账,,51800.00,5443680.50,SA020008提现 2026-08-27,C0947BR000A87DZ,,,,,,,,某某（深圳）供应链有限公司,6222817973965013314,,中国建设银行北京分行,,,,,,,,TK46Y9042T0100001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,13:26:47,2026-08-27,跨行转账支出,9000.00,,5434680.50,办公用品采购,C0947BR000B41AZ,,,办公用品采购,,,,,某某办公用品有限公司,1109160927566233873,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,14:37:38,2026-08-27,银联TOKEN贷记对公户入账,,101100.00,5535780.50,SA020008提现 2026-08-27,C0947BR000C25AZ,,,,,,,,北京某某文化传媒有限公司,6222227765839304987,,中国建设银行北京分行,,,,,,,,TK46Y9042T0120001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-27,17:43:16,2026-08-27,银联TOKEN贷记对公户入账,,85100.00,5620880.50,SA020008提现 2026-08-27,C0947BR000DD96Z,,,,,,,,某某（武汉）软件有限公司,6222206198043439223,,中国建设银行北京分行,,,,,,,,TK46Y9042T0130001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-28,09:15:25,2026-08-28,银联TOKEN贷记对公户入账,,114300.00,5735180.50,SA020008提现 2026-08-28,C0947BS0001FAAZ,,,,,,,,北京某某文化传媒有限公司,6222215238789173342,,中国建设银行北京分行,,,,,,,,TK46Y9042T0010001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-28,09:57:10,2026-08-28,网上银行转账支出,3700.00,,5731480.50,差旅报销,C0947BS000268BZ,,,差旅报销,,,,,王某某,1109214580504308252,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-28,10:06:19,2026-08-28,银联TOKEN贷记对公户入账,,13600.00,5745080.50,SA020008提现 2026-08-28,C0947BS00033DCZ,,,,,,,,上海某某电子商务有限公司,6222296727029226040,,中国建设银行北京分行,,,,,,,,TK46Y9042T0030001,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-28,12:25:11,2026-08-28,代发工资,36000.00,,5709080.50,劳务费,C0947BS000443FZ,,,劳务费,,,,,某某人力资源服务有限公司,1109782690016970008,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-28,13:01:17,2026-08-28,跨行转账支出,117200.00,,5591880.50,广告费,C0947BS0005E58Z,,,广告费,,,,,某某广告传媒有限公司,1109201357135671311,,中国工商银行北京分行,,,,,,,,,NPGATR,,,,
7559123456789012,某某网络科技有限公司,人民币,2026-08-28,14:27:42,2026-08-28,网联付款申请收款,,332800.00,5924680.50,0828_1720219225,C0947BS0006499Z,,,,,,,,上海某某电子商务有限公司,6222582177803288108,,中国建设银行北京分行,,,,,,,,AN60006X7BS0000S5MX0,N6GATR,,,,
